300,0.01
305,0.01
310,0.01
315,0.01
320,0.01
325,0.01
330,0.01
335,0.01
340,0.01
345,0.01
350,0.01
355,0.01
360,0.01
365,0.01
370,0.01
375,0.01
380,0.01
385,0.013
390,0.025
395,0.05
400,0.1
405,0.2
410,0.4
415,0.8
420,0.9
425,0.95
430,0.98
435,1
440,1
445,0.97
450,0.94
455,0.9
460,0.8
465,0.7
470,0.62
475,0.55
480,0.45
485,0.4
490,0.22
495,0.16
500,0.1
505,0.079432823
510,0.063095734
515,0.050118723
520,0.039810717
525,0.031622777
530,0.025118864
535,0.019952623
540,0.015848932
545,0.012589254
550,0.01
555,0.007943282
560,0.006309573
565,0.005011872
570,0.003981072
575,0.003162278
580,0.002511886
585,0.001995262
590,0.001584893
595,0.001258925
600,0.001
605,0.001
610,0.001
615,0.001
620,0.001
625,0.001
630,0.001
635,0.001
640,0.001
645,0.001
650,0.001
655,0.001
660,0.001
665,0.001
670,0.001
675,0.001
680,0.001
685,0.001
690,0.001
695,0.001
700,0.001
705,0.001
710,0.001
715,0.001
720,0.001
725,0.001
730,0.001
735,0.001
740,0.001
745,0.001
750,0.001
755,0.001
760,0.001
765,0.001
770,0.001
775,0.001
780,0.001
785,0.001
790,0.001
795,0.001
800,0.001
